time	S7_D14_HbO	S7_D13_HbO	S7_D12_HbO	S7_D11_HbO	S6_D22_HbO	S6_D12_HbO	S6_D11_HbO	S6_D10_HbO	S6_D9_HbO	S5_D21_HbO	S5_D10_HbO	S5_D9_HbO	S5_D8_HbO	S5_D7_HbO	S4_D20_HbO	S4_D8_HbO	S4_D7_HbO	S4_D6_HbO	S4_D5_HbO	S8_D23_HbO	S8_D16_HbO	S8_D15_HbO	S8_D9_HbO	S3_D19_HbO	S3_D4_HbO	S3_D3_HbO	S2_D18_HbO	S2_D3_HbO	S2_D2_HbO	S1_D17_HbO	S1_D2_HbO	S1_D1_HbO	S7_D14_HbR	S7_D13_HbR	S7_D12_HbR	S7_D11_HbR	S6_D22_HbR	S6_D12_HbR	S6_D11_HbR	S6_D10_HbR	S6_D9_HbR	S5_D21_HbR	S5_D10_HbR	S5_D9_HbR	S5_D8_HbR	S5_D7_HbR	S4_D20_HbR	S4_D8_HbR	S4_D7_HbR	S4_D6_HbR	S4_D5_HbR	S8_D23_HbR	S8_D16_HbR	S8_D15_HbR	S8_D9_HbR	S3_D19_HbR	S3_D4_HbR	S3_D3_HbR	S2_D18_HbR	S2_D3_HbR	S2_D2_HbR	S1_D17_HbR	S1_D2_HbR	S1_D1_HbR	S7_D14_HbT	S7_D13_HbT	S7_D12_HbT	S7_D11_HbT	S6_D22_HbT	S6_D12_HbT	S6_D11_HbT	S6_D10_HbT	S6_D9_HbT	S5_D21_HbT	S5_D10_HbT	S5_D9_HbT	S5_D8_HbT	S5_D7_HbT	S4_D20_HbT	S4_D8_HbT	S4_D7_HbT	S4_D6_HbT	S4_D5_HbT	S8_D23_HbT	S8_D16_HbT	S8_D15_HbT	S8_D9_HbT	S3_D19_HbT	S3_D4_HbT	S3_D3_HbT	S2_D18_HbT	S2_D3_HbT	S2_D2_HbT	S1_D17_HbT	S1_D2_HbT	S1_D1_HbT	
  -2.0000000e+00	  -1.7004445e-03	  -7.5205586e-02	  -7.6207941e-02	  -8.5019350e-02	   2.6225337e-15	  -7.2110607e-02	  -7.8114966e-02	  -1.0912807e-01	  -7.9003180e-02	   1.1759924e-15	  -1.2063256e-01	  -1.0194528e-01	  -6.2510981e-02	  -6.3304275e-02	   7.4992766e-17	  -1.1854367e-01	   4.9973285e-02	  -4.0944218e-02	   8.3077684e-03	   2.3582281e-17	  -6.6049191e-02	  -2.1029804e-02	   2.7961113e-15	   8.7328843e-17	  -7.7700327e-02	  -1.3611242e-01	  -3.2283904e-16	  -1.1721141e-01	  -1.0234067e-01	  -4.6263445e-16	  -6.1587903e-02	  -1.0148327e-01	   3.5287946e-02	   2.4516188e-02	  -6.0371822e-03	   6.4132069e-03	  -3.6785980e-16	  -6.0065615e-03	   8.6100095e-03	  -1.1121626e-04	  -1.8464946e-02	  -1.0395104e-15	   6.3759470e-03	   1.1602439e-02	   2.7922881e-02	   2.8349900e-04	  -1.0173926e-16	   2.6287071e-02	   5.2521217e-03	   5.8668030e-03	   2.5536975e-02	  -1.1164007e-15	  -7.4113923e-04	  -1.0470414e-03	  -4.7014830e-16	  -1.3139044e-16	   1.5837629e-03	   1.1319740e-02	   1.6343884e-16	   3.6130075e-03	   1.8095602e-02	   1.7004433e-17	  -1.1648397e-02	   1.6331203e-02	   3.3587502e-02	  -5.0689398e-02	  -8.2245123e-02	  -7.8606143e-02	   2.2546739e-15	  -7.8117168e-02	  -6.9504956e-02	  -1.0923928e-01	  -9.7468126e-02	   1.3648201e-16	  -1.1425662e-01	  -9.0342840e-02	  -3.4588100e-02	  -6.3020776e-02	  -2.6746492e-17	  -9.2256597e-02	   5.5225407e-02	  -3.5077415e-02	   3.3844743e-02	  -1.0928184e-15	  -6.6790330e-02	  -2.2076845e-02	   2.3259630e-15	  -4.4061593e-17	  -7.6116564e-02	  -1.2479268e-01	  -1.5940020e-16	  -1.1359840e-01	  -8.4245072e-02	  -4.4563002e-16	  -7.3236300e-02	  -8.5152065e-02	
  -1.9500000e+00	   6.9706710e-04	  -6.9727289e-02	  -6.8205274e-02	  -7.7290560e-02	   2.3355922e-15	  -6.4908910e-02	  -6.8890251e-02	  -1.0357906e-01	  -7.4235735e-02	   1.0983221e-15	  -1.1434347e-01	  -9.5726245e-02	  -5.6315719e-02	  -5.9237620e-02	   6.1638455e-17	  -1.1522302e-01	   4.8057750e-02	  -3.8647945e-02	   8.1608080e-03	   2.3938037e-17	  -6.0977649e-02	  -1.8816414e-02	   2.6342989e-15	   6.3313496e-17	  -7.8222945e-02	  -1.3364437e-01	  -2.7471137e-16	  -1.1118560e-01	  -9.8212056e-02	  -4.1168120e-16	  -5.6787027e-02	  -9.5804143e-02	   3.3969872e-02	   2.3380671e-02	  -5.9975171e-03	   6.8369294e-03	  -3.2794449e-16	  -5.4737781e-03	   8.1173762e-03	   5.5701837e-04	  -1.7977757e-02	  -9.6613075e-16	   5.5456875e-03	   1.0711905e-02	   2.6556736e-02	   1.4046492e-04	  -8.6052859e-17	   2.5821036e-02	   4.5840188e-03	   6.0667324e-03	   2.4761721e-02	  -1.0843043e-15	  -4.2520070e-04	  -9.5893169e-04	  -4.5411118e-16	  -9.8665482e-17	   1.5206869e-03	   1.1699096e-02	   1.4595969e-16	   3.9701029e-03	   1.7839730e-02	   1.2918188e-17	  -1.1114106e-02	   1.5673294e-02	   3.4666939e-02	  -4.6346618e-02	  -7.4202792e-02	  -7.0453630e-02	   2.0076477e-15	  -7.0382688e-02	  -6.0772875e-02	  -1.0302205e-01	  -9.2213491e-02	   1.3219131e-16	  -1.0879778e-01	  -8.5014340e-02	  -2.9758983e-02	  -5.9097155e-02	  -2.4414405e-17	  -8.9401981e-02	   5.2641769e-02	  -3.2581213e-02	   3.2922529e-02	  -1.0603663e-15	  -6.1402850e-02	  -1.9775346e-02	   2.1801877e-15	  -3.5351985e-17	  -7.6702258e-02	  -1.2194528e-01	  -1.2875168e-16	  -1.0721550e-01	  -8.0372327e-02	  -3.9876301e-16	  -6.7901133e-02	  -8.0130849e-02	
  -1.9000000e+00	   3.0313691e-03	  -6.4143351e-02	  -5.9949097e-02	  -6.9536402e-02	   2.0528333e-15	  -5.7595833e-02	  -5.9624587e-02	  -9.7770191e-02	  -6.9384972e-02	   1.0206256e-15	  -1.0762746e-01	  -8.9280990e-02	  -4.9914642e-02	  -5.4883299e-02	   4.8335353e-17	  -1.1152165e-01	   4.6106857e-02	  -3.6231446e-02	   8.1012657e-03	   2.9633163e-17	  -5.6045795e-02	  -1.6693018e-02	   2.4670434e-15	   4.0606340e-17	  -7.8221386e-02	  -1.3064892e-01	  -2.2775566e-16	  -1.0485557e-01	  -9.3688690e-02	  -3.6143642e-16	  -5.1947837e-02	  -9.0005422e-02	   3.2615792e-02	   2.2177557e-02	  -5.9175268e-03	   7.1579944e-03	  -2.8866989e-16	  -4.9676363e-03	   7.5004741e-03	   1.1897526e-03	  -1.7410210e-02	  -8.9335269e-16	   4.6691542e-03	   9.6926861e-03	   2.5097981e-02	  -1.6717414e-05	  -7.0384998e-17	   2.5174637e-02	   3.8165972e-03	   6.2813493e-03	   2.3852362e-02	  -1.0572970e-15	  -1.0878061e-04	  -8.6552589e-04	  -4.3769219e-16	  -6.7628735e-17	   1.4534388e-03	   1.2023740e-02	   1.2891426e-16	   4.2746370e-03	   1.7480705e-02	   9.1019870e-18	  -1.0540543e-02	   1.5015852e-02	   3.5647161e-02	  -4.1965794e-02	  -6.5866624e-02	  -6.2378407e-02	   1.7641634e-15	  -6.2563470e-02	  -5.2124113e-02	  -9.6580438e-02	  -8.6795182e-02	   1.2727286e-16	  -1.0295830e-01	  -7.9588303e-02	  -2.4816661e-02	  -5.4900017e-02	  -2.2049645e-17	  -8.6347009e-02	   4.9923454e-02	  -2.9950097e-02	   3.1953627e-02	  -1.0276638e-15	  -5.6154575e-02	  -1.7558543e-02	   2.0293512e-15	  -2.7022395e-17	  -7.6767947e-02	  -1.1862518e-01	  -9.8841396e-17	  -1.0058093e-01	  -7.6207985e-02	  -3.5233444e-16	  -6.2488379e-02	  -7.4989569e-02	
  -1.8500000e+00	   5.2625755e-03	  -5.8490042e-02	  -5.1523371e-02	  -6.1807406e-02	   1.7762153e-15	  -5.0236726e-02	  -5.0407632e-02	  -9.1725395e-02	  -6.4479726e-02	   9.4326789e-16	  -1.0054277e-01	  -8.2668215e-02	  -4.3369210e-02	  -5.0279074e-02	   3.5308322e-17	  -1.0743209e-01	   4.4116665e-02	  -3.3690887e-02	   8.1126601e-03	   3.9479753e-17	  -5.1272353e-02	  -1.4679459e-02	   2.2955143e-15	   1.9411232e-17	  -7.7700768e-02	  -1.2714083e-01	  -1.8261228e-16	  -9.8255816e-02	  -8.8789598e-02	  -3.1245178e-16	  -4.7108710e-02	  -8.4115678e-02	   3.1228031e-02	   2.0910305e-02	  -5.7911282e-03	   7.3712307e-03	  -2.5021140e-16	  -4.4884285e-03	   6.7724324e-03	   1.7803298e-03	  -1.6762135e-02	  -8.2148003e-16	   3.7547089e-03	   8.5719954e-03	   2.3546337e-02	  -1.9383885e-04	  -5.4978876e-17	   2.4353690e-02	   2.9660420e-03	   6.4966840e-03	   2.2817152e-02	  -1.0337049e-15	   2.0747014e-04	  -7.6462314e-04	  -4.2075829e-16	  -3.8566679e-17	   1.3835634e-03	   1.2291108e-02	   1.1248205e-16	   4.5204383e-03	   1.7015270e-02	   5.6336824e-18	  -9.9322216e-03	   1.4356011e-02	   3.6490606e-02	  -3.7579736e-02	  -5.7314499e-02	  -5.4436176e-02	   1.5260039e-15	  -5.4725154e-02	  -4.3635200e-02	  -8.9945066e-02	  -8.1241862e-02	   1.2178786e-16	  -9.6788057e-02	  -7.4096220e-02	  -1.9822874e-02	  -5.0472913e-02	  -1.9670554e-17	  -8.3078405e-02	   4.7082707e-02	  -2.7194203e-02	   3.0929812e-02	  -9.9422514e-16	  -5.1064883e-02	  -1.5444082e-02	   1.8747560e-15	  -1.9155448e-17	  -7.6317204e-02	  -1.1484972e-01	  -7.0130235e-17	  -9.3735378e-02	  -7.1774328e-02	  -3.0681810e-16	  -5.7040932e-02	  -6.9759667e-02	
  -1.8000000e+00	   7.3544874e-03	  -5.2802656e-02	  -4.3015874e-02	  -5.4152783e-02	   1.5075479e-15	  -4.2897940e-02	  -4.1328537e-02	  -8.5470304e-02	  -5.9547591e-02	   8.6659953e-16	  -9.3150990e-02	  -7.5947690e-02	  -3.6744074e-02	  -4.5464582e-02	   2.2775760e-17	  -1.0295202e-01	   4.2082065e-02	  -3.1024241e-02	   8.1771566e-03	   5.2182385e-17	  -4.6670593e-02	  -1.2790757e-02	   2.1209103e-15	  -8.9032029e-20	  -7.6668421e-02	  -1.2313519e-01	  -1.3989664e-16	  -9.1420613e-02	  -8.3538850e-02	  -2.6522018e-16	  -4.2307222e-02	  -7.8163456e-02	   2.9807841e-02	   1.9582943e-02	  -5.6134191e-03	   7.4727988e-03	  -2.1273155e-16	  -4.0357926e-03	   5.9480897e-03	   2.3225911e-03	  -1.6034511e-02	  -7.5080215e-16	   2.8123482e-03	   7.3785819e-03	   2.1903830e-02	  -3.9530637e-04	  -4.0074063e-17	   2.3366006e-02	   2.0505860e-03	   6.6992453e-03	   2.1666265e-02	  -1.0118144e-15	   5.2172117e-04	  -6.5452919e-04	  -4.0319342e-16	  -1.1736084e-17	   1.3119792e-03	   1.2498252e-02	   9.6829159e-17	   4.7019736e-03	   1.6442358e-02	   2.5726765e-18	  -9.2936420e-03	   1.3690618e-02	   3.7162328e-02	  -3.3219713e-02	  -4.8629293e-02	  -4.6679984e-02	   1.2948163e-15	  -4.6933732e-02	  -3.5380447e-02	  -8.3147713e-02	  -7.5582102e-02	   1.1579738e-16	  -9.0338642e-02	  -6.8569108e-02	  -1.4840244e-02	  -4.5859889e-02	  -1.7298303e-17	  -7.9586016e-02	   4.4132651e-02	  -2.4324996e-02	   2.9843422e-02	  -9.5963197e-16	  -4.6148872e-02	  -1.3445287e-02	   1.7177169e-15	  -1.1825116e-17	  -7.5356442e-02	  -1.1063694e-01	  -4.3067484e-17	  -8.6718639e-02	  -6.7096492e-02	  -2.6264751e-16	  -5.1600864e-02	  -6.4472838e-02	
  -1.7500000e+00	   9.2753673e-03	  -4.7114559e-02	  -3.4516167e-02	  -4.6619149e-02	   1.2484741e-15	  -3.5645556e-02	  -3.2474037e-02	  -7.9031830e-02	  -5.4614288e-02	   7.9095113e-16	  -8.5515353e-02	  -6.9178585e-02	  -3.0105767e-02	  -4.0480160e-02	   1.0943272e-17	  -9.8083930e-02	   3.9997337e-02	  -2.8231689e-02	   8.2761360e-03	   6.6383903e-17	  -4.2248109e-02	  -1.1036844e-02	   1.9444283e-15	  -1.7736336e-17	  -7.5132906e-02	  -1.1864674e-01	  -1.0017858e-16	  -8.4383730e-02	  -7.7964954e-02	  -2.2017091e-16	  -3.7579024e-02	  -7.2176375e-02	   2.8355520e-02	   1.8200119e-02	  -5.3808978e-03	   7.4603738e-03	  -1.7638312e-16	  -3.6087421e-03	   5.0437143e-03	   2.8109984e-03	  -1.5229480e-02	  -6.8158950e-16	   1.8534076e-03	   6.1418720e-03	   2.0174872e-02	  -6.2403934e-04	  -2.5899813e-17	   2.2221318e-02	   1.0899235e-03	   6.8766363e-03	   2.0411534e-02	  -9.8992540e-16	   8.3102149e-04	  -5.3420597e-04	  -3.8489824e-16	   1.2640971e-17	   1.2389519e-03	   1.2641773e-02	   8.2103431e-17	   4.8146033e-03	   1.5763360e-02	  -3.9033126e-20	  -8.6292065e-03	   1.3016392e-02	   3.7630888e-02	  -2.8914441e-02	  -3.9897065e-02	  -3.9158775e-02	   1.0720910e-15	  -3.9254298e-02	  -2.7430323e-02	  -7.6220832e-02	  -6.9843768e-02	   1.0936163e-16	  -8.3661946e-02	  -6.3036713e-02	  -9.9308949e-03	  -4.1104199e-02	  -1.4956541e-17	  -7.5862612e-02	   4.1087261e-02	  -2.1355053e-02	   2.8687670e-02	  -9.2354150e-16	  -4.1417087e-02	  -1.1571050e-02	   1.5595300e-15	  -5.0953649e-18	  -7.3893954e-02	  -1.0600497e-01	  -1.8075145e-17	  -7.9569127e-02	  -6.2201593e-02	  -2.2020994e-16	  -4.6208231e-02	  -5.9159983e-02	
  -1.7000000e+00	   1.0998530e-02	  -4.1456712e-02	  -2.6113647e-02	  -3.9249843e-02	   1.0004579e-15	  -2.8544185e-02	  -2.3926805e-02	  -7.2437898e-02	  -4.9703268e-02	   7.1662772e-16	  -7.7699252e-02	  -6.2418061e-02	  -2.3521598e-02	  -3.5366092e-02	  -1.2463192e-21	  -9.2834856e-02	   3.7856692e-02	  -2.5316114e-02	   8.3908029e-03	   8.0729605e-17	  -3.8006871e-02	  -9.4225079e-03	   1.7672367e-15	  -3.3401366e-17	  -7.3103583e-02	  -1.1368955e-01	  -6.3961739e-17	  -7.7178462e-02	  -7.2100354e-02	  -1.7766434e-16	  -3.2957008e-02	  -6.6180503e-02	   2.6870495e-02	   1.6767215e-02	  -5.0916570e-03	   7.3333773e-03	  -1.4131261e-16	  -3.2057422e-03	   4.0767703e-03	   3.2407402e-03	  -1.4350306e-02	  -6.1408753e-16	   8.9016473e-04	   4.8910690e-03	   1.8366275e-02	  -8.8134116e-04	  -1.2669700e-17	   2.0931166e-02	   1.0455147e-04	   7.0179724e-03	   1.9066082e-02	  -9.6640806e-16	   1.1314428e-03	  -4.0345713e-04	  -3.6578976e-16	   3.4382661e-17	   1.1641648e-03	   1.2717827e-02	   6.8429446e-17	   4.8548589e-03	   1.4982230e-02	  -2.1756403e-18	  -7.9431806e-03	   1.2330120e-02	   3.7869025e-02	  -2.4689497e-02	  -3.1205304e-02	  -3.1916465e-02	   8.5914531e-16	  -3.1749927e-02	  -1.9850035e-02	  -6.9197157e-02	  -6.4053574e-02	   1.0254019e-16	  -7.6809087e-02	  -5.7526992e-02	  -5.1553233e-03	  -3.6247433e-02	  -1.2670946e-17	  -7.1903691e-02	   3.7961244e-02	  -1.8298141e-02	   2.7456885e-02	  -8.8567845e-16	  -3.6875428e-02	  -9.8259650e-03	   1.4014470e-15	   9.8129454e-19	  -7.1939418e-02	  -1.0097172e-01	   4.4677067e-18	  -7.2323603e-02	  -5.7118124e-02	  -1.7983998e-16	  -4.0900189e-02	  -5.3850383e-02	
  -1.6500000e+00	   1.2502610e-02	  -3.5857812e-02	  -1.7895964e-02	  -3.2085000e-02	   7.6478304e-16	  -2.1655996e-02	  -1.5764228e-02	  -6.5717374e-02	  -4.4835583e-02	   6.4390430e-16	  -6.9765344e-02	  -5.5720198e-02	  -1.7058846e-02	  -3.0162508e-02	  -9.8913854e-18	  -8.7216202e-02	   3.5654606e-02	  -2.2283881e-02	   8.5027723e-03	   9.3946592e-17	  -3.3943659e-02	  -7.9475841e-03	   1.5904559e-15	  -4.6987653e-17	  -7.0590830e-02	  -1.0827714e-01	  -3.1665705e-17	  -6.9837947e-02	  -6.5981118e-02	  -1.3798808e-16	  -2.8470890e-02	  -6.0200077e-02	   2.5351374e-02	   1.5290515e-02	  -4.7455316e-03	   7.0932177e-03	  -1.0766610e-16	  -2.8248272e-03	   3.0657132e-03	   3.6078046e-03	  -1.3401316e-02	  -5.4851129e-16	  -6.4562743e-05	   3.6542906e-03	   1.6487205e-02	  -1.1667491e-03	  -5.7721557e-19	   1.9508739e-02	  -8.8483275e-04	   7.1140918e-03	   1.7643834e-02	  -9.3976373e-16	   1.4183086e-03	  -2.6306774e-04	  -3.4580199e-16	   5.3352797e-17	   1.0868705e-03	   1.2722206e-02	   5.5904607e-17	   4.8207024e-03	   1.4105370e-02	  -3.8263661e-18	  -7.2396825e-03	   1.1628858e-02	   3.7853984e-02	  -2.0567296e-02	  -2.2641496e-02	  -2.4991782e-02	   6.5711695e-16	  -2.4480824e-02	  -1.2698515e-02	  -6.2109570e-02	  -5.8236899e-02	   9.5393007e-17	  -6.9829907e-02	  -5.2065908e-02	  -5.7164029e-04	  -3.1329257e-02	  -1.0468601e-17	  -6.7707464e-02	   3.4769774e-02	  -1.5169789e-02	   2.6146606e-02	  -8.4581713e-16	  -3.2525351e-02	  -8.2106519e-03	   1.2446539e-15	   6.3651435e-18	  -6.9503960e-02	  -9.5554935e-02	   2.4238902e-17	  -6.5017244e-02	  -5.1875748e-02	  -1.4181445e-16	  -3.5710572e-02	  -4.8571219e-02	
  -1.6000000e+00	   1.3771414e-02	  -3.0344977e-02	  -9.9479522e-03	  -2.5162333e-02	   5.4256383e-16	  -1.5040041e-02	  -8.0576399e-03	  -5.8900253e-02	  -4.0029982e-02	   5.7302385e-16	  -6.1775237e-02	  -4.9135288e-02	  -1.0784238e-02	  -2.4909916e-02	  -1.8585097e-17	  -8.1243751e-02	   3.3385878e-02	  -1.9145884e-02	   8.5945762e-03	   1.0492520e-16	  -3.0050852e-02	  -6.6073754e-03	   1.4151448e-15	  -5.8434856e-17	  -6.7606777e-02	  -1.0242292e-01	  -3.6130213e-18	  -6.2395613e-02	  -5.9646820e-02	  -1.0135620e-16	  -2.4147216e-02	  -5.4257522e-02	   2.3796023e-02	   1.3777361e-02	  -4.3441686e-03	   6.7434951e-03	  -7.5596753e-17	  -2.4637367e-03	   2.0297688e-03	   3.9090195e-03	  -1.2387846e-02	  -4.8504243e-16	  -9.9773764e-04	   2.4578254e-03	   1.4549082e-02	  -1.4778802e-03	   1.0207962e-17	   1.7968682e-02	  -1.8578321e-03	   7.1575915e-03	   1.6158971e-02	  -9.0868454e-16	   1.6864926e-03	  -1.1482777e-04	  -3.2488824e-16	   6.9465113e-17	   1.0060892e-03	   1.2650473e-02	   4.4596915e-17	   4.7117100e-03	   1.3141284e-02	  -4.9943386e-18	  -6.5226769e-03	   1.0910104e-02	   3.7567437e-02	  -1.6567616e-02	  -1.4292121e-02	  -1.8418838e-02	   4.6696708e-16	  -1.7503778e-02	  -6.0278711e-03	  -5.4991233e-02	  -5.2417828e-02	   8.7981421e-17	  -6.2772975e-02	  -4.6677463e-02	   3.7648438e-03	  -2.6387797e-02	  -8.3771351e-18	  -6.3275069e-02	   3.1528046e-02	  -1.1988292e-02	   2.4753547e-02	  -8.0375934e-16	  -2.8364360e-02	  -6.7222031e-03	   1.0902566e-15	   1.1030257e-17	  -6.6600688e-02	  -8.9772451e-02	   4.0983894e-17	  -5.7683903e-02	  -4.6505536e-02	  -1.0635054e-16	  -3.0669893e-02	  -4.3347418e-02	
  -1.5500000e+00	   1.4793383e-02	  -2.4944691e-02	  -2.3510626e-03	  -1.8518389e-02	   3.3476744e-16	  -8.7518552e-03	  -8.7190796e-04	  -5.2018032e-02	  -3.5303182e-02	   5.0419756e-16	  -5.3789535e-02	  -4.2709394e-02	  -4.7635896e-03	  -1.9650151e-02	  -2.5967016e-17	  -7.4937793e-02	   3.1045503e-02	  -1.5918636e-02	   8.6500430e-03	   1.1278459e-16	  -2.6317508e-02	  -5.3932714e-03	   1.2422904e-15	  -6.7720893e-17	  -6.4166250e-02	  -9.6140771e-02	   1.9977590e-17	  -5.4885632e-02	  -5.3140588e-02	  -6.7911417e-17	  -2.0009665e-02	  -4.8373657e-02	   2.2201680e-02	   1.2236219e-02	  -3.8909997e-03	   6.2901496e-03	  -4.5271899e-17	  -2.1200524e-03	   9.8866018e-04	   4.1420788e-03	  -1.1316176e-02	  -4.2382888e-16	  -1.8963091e-03	   1.3255519e-03	   1.2565419e-02	  -1.8103098e-03	   1.9543359e-17	   1.6326851e-02	  -2.7947590e-03	   7.1427144e-03	   1.4625377e-02	  -8.7210036e-16	   1.9307458e-03	   3.8570516e-05	  -3.0302298e-16	   8.2685908e-17	   9.2080681e-04	   1.2498101e-02	   3.4544367e-17	   4.5291471e-03	   1.2100057e-02	  -5.6956191e-18	  -5.7959576e-03	   1.0171914e-02	   3.6995063e-02	  -1.2708471e-02	  -6.2420623e-03	  -1.2228239e-02	   2.8949554e-16	  -1.0871908e-02	   1.1675222e-04	  -4.7875953e-02	  -4.6619357e-02	   8.0368675e-17	  -5.5685844e-02	  -4.1383842e-02	   7.8018297e-03	  -2.1460461e-02	  -6.4236572e-18	  -5.8610942e-02	   2.8250744e-02	  -8.7759214e-03	   2.3275420e-02	  -7.5931577e-16	  -2.4386762e-02	  -5.3547009e-03	   9.3926744e-16	   1.4965015e-17	  -6.3245443e-02	  -8.3642670e-02	   5.4521957e-17	  -5.0356485e-02	  -4.1040532e-02	  -7.3607036e-17	  -2.5805622e-02	  -3.8201743e-02	
  -1.5000000e+00	   1.5560834e-02	  -1.9683623e-02	   4.8169003e-03	  -1.2189823e-02	   1.4224145e-16	  -2.8432643e-03	   5.7347958e-03	  -4.5104166e-02	  -3.0670237e-02	   4.3760590e-16	  -4.5867906e-02	  -3.6484071e-02	   9.3859647e-04	  -1.4427292e-02	  -3.1950893e-17	  -6.8323228e-02	   2.8628512e-02	  -1.2625063e-02	   8.6545044e-03	   1.1691146e-16	  -2.2730585e-02	  -4.2935042e-03	   1.0727955e-15	  -7.4862798e-17	  -6.0287615e-02	  -8.9445579e-02	   3.8992673e-17	  -4.7343252e-02	  -4.6509169e-02	  -3.7728735e-17	  -1.6079427e-02	  -4.2567943e-02	   2.0565114e-02	   1.0676566e-02	  -3.3911200e-03	   5.7415324e-03	  -1.6877967e-17	  -1.7913126e-03	  -3.7723509e-05	   4.3055571e-03	  -1.0193424e-02	  -3.6498609e-16	  -2.7473242e-03	   2.7851187e-04	   1.0551632e-02	  -2.1575332e-03	   2.7317490e-17	   1.4600050e-02	  -3.6769621e-03	   7.0651340e-03	   1.3056164e-02	  -8.2920968e-16	   2.1460128e-03	   1.9372126e-04	  -2.8020057e-16	   9.3034911e-17	   8.3014418e-04	   1.2260594e-02	   2.5755433e-17	   4.2759458e-03	   1.0992765e-02	  -5.9584079e-18	  -5.0631366e-03	   9.4129649e-03	   3.6125947e-02	  -9.0070572e-03	   1.4257802e-03	  -6.4482906e-03	   1.2536348e-16	  -4.6345769e-03	   5.6970723e-03	  -4.0798609e-02	  -4.0863661e-02	   7.2619811e-17	  -4.8615230e-02	  -3.6205559e-02	   1.1490229e-02	  -1.6584825e-02	  -4.6334027e-18	  -5.3723178e-02	   2.4951550e-02	  -5.5599293e-03	   2.1710669e-02	  -7.1229822e-16	  -2.0584573e-02	  -4.0997829e-03	   7.9259498e-16	   1.8172113e-17	  -5.9457471e-02	  -7.7184985e-02	   6.4748106e-17	  -4.3067306e-02	  -3.5516404e-02	  -4.3687142e-17	  -2.1142564e-02	  -3.3154978e-02	
  -1.4500000e+00	   1.6069150e-02	  -1.4588997e-02	   1.1482131e-02	  -6.2141503e-03	  -3.4261520e-17	   2.6377927e-03	   1.1711251e-02	  -3.8194364e-02	  -2.6144885e-02	   3.7339887e-16	  -3.8068806e-02	  -3.0496046e-02	   6.2598041e-03	  -9.2881820e-03	  -3.6482654e-17	  -6.1429465e-02	   2.6129899e-02	  -9.2946997e-03	   8.5948341e-03	   1.1697105e-16	  -1.9276148e-02	  -3.2939935e-03	   9.0746540e-16	  -7.9915988e-17	  -5.5993306e-02	  -8.2353737e-02	   5.3423315e-17	  -3.9804943e-02	  -3.9802785e-02	  -1.0820436e-17	  -1.2375476e-02	  -3.6858647e-02	   1.8882857e-02	   9.1085762e-03	  -2.8510939e-03	   5.1083506e-03	   9.3774402e-18	  -1.4750885e-03	  -1.0297025e-03	   4.3989056e-03	  -9.0273956e-03	  -3.0859805e-16	  -3.5380206e-03	  -6.6542487e-04	   8.5247471e-03	  -2.5110506e-03	   3.3454634e-17	   1.2805731e-02	  -4.4870657e-03	   6.9217261e-03	   1.1463356e-02	  -7.7949611e-16	   2.3277038e-03	   3.4674165e-04	  -2.5643147e-16	   1.0058402e-16	   7.3350496e-04	   1.1933601e-02	   1.8209874e-17	   3.9566173e-03	   9.8309673e-03	  -5.8221635e-18	  -4.3276608e-03	   8.6325473e-03	   3.4952007e-02	  -5.4804211e-03	   8.6310374e-03	  -1.1057997e-03	  -2.4884080e-17	   1.1627042e-03	   1.0681549e-02	  -3.3795458e-02	  -3.5172281e-02	   6.4800823e-17	  -4.1606827e-02	  -3.1161471e-02	   1.4784551e-02	  -1.1799233e-02	  -3.0280205e-18	  -4.8623735e-02	   2.1642833e-02	  -2.3729736e-03	   2.0058190e-02	  -6.6252506e-16	  -1.6948444e-02	  -2.9472518e-03	   6.5103393e-16	   2.0668028e-17	  -5.5259802e-02	  -7.0420136e-02	   7.1633189e-17	  -3.5848325e-02	  -2.9971818e-02	  -1.6642600e-17	  -1.6703137e-02	  -2.8226099e-02	
